"","Site","Bee_ID","Slide_code","Family","Subtype","Count","Pollen_colour","Date_pollen","Day_of_season","Num_of_samples","Count_scaled","Num_of_subtypes","Season","Abundance_for50","Abundance_for200","Num_ID"
"133","JAM","JAM_Y-WYW","J-203","Ranunculaceae","Ranunculus",204,"medium yellow",2025-01-16,71,1,204,2,"late",2,4,"J.73"
"134","JAM","JAM_Y-PPY","J-208","Primulaceae","Lysimachia",299,"medium yellow",2025-01-16,71,2,300,1,"late",2,2,"J.40"
"135","KB","KB_OOB","K-140","Unknown_3","Unknown_3",300,"light yellow",2025-01-17,72,1,300,1,NA,NA,NA,"K.26"
"136","JAM","JAM_W-PWO","J-250","Asteraceae","Cichorieae",105,"medium yellow",2025-01-22,77,3,105,2,"late",4,5,"J.70"
"137","JAM","JAM_W-PWO","J-250","Plantaginaceae","Plantago",195,"medium yellow",2025-01-22,77,3,195,2,"late",5,5,"J.70"
"138","JAM","JAM_O-OBB","J-226","Asteraceae","Cichorieae",300,"dark yellow",2025-01-28,83,2,300,1,"late",4,5,"J.72"
"139","JAM","JAM_B-BPP","J-199","Adoxaceae","Viburnum",299,"light yellow",2025-02-03,89,1,300,1,"late",1,2,"J.74"
"140","JAM","JAM_O-OBB","J-133","Primulaceae","Lysimachia",228,"medium yellow",2025-02-03,89,2,228,2,"late",2,2,"J.72"
"141","JAM","JAM_W-PWO","J-249","Adoxaceae","Viburnum",298,"medium yellow",2025-02-03,89,3,300,1,"late",1,2,"J.70"
"142","JAM","JAM_O-OBB","J-133","Asteraceae","Asteraceae",72,"medium yellow",2025-02-03,89,2,72,2,"late",5,5,"J.72"
"143","JAM","JAM_W-OWW","J-256","Ranunculaceae","Ranunculus",123,"dark yellow",2025-02-04,90,2,123,5,"late",2,4,"J.77"
"144","JAM","JAM_W-OWW","J-256","Plantaginaceae","Plantago",28,"dark yellow",2025-02-04,90,2,28,5,"late",5,5,"J.77"
"145","JAM","JAM_W-OWW","J-256","Asteraceae","Asteraceae",57,"dark yellow",2025-02-04,90,2,57,5,"late",5,5,"J.77"
"146","JAM","JAM_W-OWW","J-256","Brassicaceae","Brassicaceae",8,"dark yellow",2025-02-04,90,2,8,5,"late",1,4,"J.77"
"147","JAM","JAM_W-OWW","J-256","Unknown_7","Unknown_7",84,"dark yellow",2025-02-04,90,2,84,5,NA,NA,NA,"J.77"
